review_id,date,content,author
UR123998148,2012-2-February,Sorry not even reasonable for the price. Some homeless people in the region had more comfortable accomodations. July 4 weekend it was 109/night we were desperate because most places sold out. Window was busted up and didn't close fine for the temprature realy bad for the nose exhaust of cars out front and the constant fear of gun point robbery. The front desk staff and manager was AWFUL. Lied to us about rooms on phone watched him lie to potential customers coming in. Def. crack deals and hooker situations going on in one of the corner rooms. It was just so horrible. Don't do it.,Kfordell
UR124392872,2012-10-February,Don't do what I did....stay here with my family because it was the best price I could find. At 2am with other occupants of the hotel screaming drunk and in a terrible fight I would have paid the $50 more or $100 to NOT have been there. We got little sleep and had to call front desk to come and handle the people fighting right outside our door. I didn't really care that much that the room was run down and dirty. It was exposing my kids to what felt like a truly unsafe situation that caused my regret. This hotel is definitely the home to drug deals prostitution and all night hollering and brawls. I've never written a review before but I feel strongly about trying to help you avoid what we went through. When we checked in there was a very unhappy looking couple checking out. Had I known then what I know now I would have never checked in. Just suck it up and stay at the Paramount. You'll be glad you did.,Teri T
UR107512417,2011-9-May,I never cease to be amazed at hotels that look so nice on-line but in reality are quite the opposite. This place was so awful it was comedic. How about cigarette butts on the hallway carpets? How about transvestites asking you for a corkscrew at 8:00 am? How about a general "lock up' at night? Do you like broken 1950s plumbing? Do you like 1960s polyester spreads drapes carpeting and uphostery? This place should have been torn down with the majority of the Seattle Worlds Fair buildings in 1962.,Pandabear202
UR99424591,2011-8-March,Unbelievable! This is a great place to stay if your into drug trafficing prostitution and hanging out with people who are high on who knows what!!!??? My girlfriends and I came to stay for the weekend and were mislead by the online ad for this Motel (which was advertised as a Hotel). As soon as we pulled in people on the lower levels shut out their lights and started peaking through the cracks of their curtains... Too high to realize that we could see them! We unloaded our things onto an elevator and were surrounded by about 5 men covered in pock and track marks! We witness two GI's (who happened to check in when we did) go to their rooms with two (i'm not kidding!) noticible transvestite prostitutes. We finally made it up to our room and realized that the door didn't lock! The front desk gave us a hard time about switching up to a room that did lock. We were on the 3rd level and as we looked down into the parking lot people were wondering from room to room. One room in particular had people roaming in and out while friends waited in the parking lot. We had people knock on our room door asking us if we had a cigarette matches a lighter? We decited to leave to go get a drink (we had to be atleast a little tipsy to fall asleep in this hell hole!!!) We went to pull out and realized we were totally locked in! Not a security gate where we could use our room key to enter or exit... But seriously... a full on gate that was padlocked shut. The manager had to come out and unlock open and lock it back up. We asked why we were locked in like that and they said to protect us from the people out there! We couldn't help but ask... What about the people in here????!!!!! This is the 1000% truth about our experience at this hotel. We only stayed one night and I am surprised we survived!!! (ha ha ha... we did hear one gang member looking guy mention that we looked like cops... We went with that!) The only good thing about this hotel was the free parking!!!!,CrisConn
UR120240874,2011-6-November,ARG! How this overall ranked as 3 stars is completely beyond me. As I was checking in rats were climbing all over the counter squeaking for a refund. Ok no real rats. Nor bugs that I noticed but for the love of Seattle this place was a DUMP. Where to begin the street level parking is awful. The underground was horrible as well. The room was the size of 3 closets put together. The one elevator with buttons from 1912 was scary. The staff was incredibly unhelpful. There was no breakfast. The bathroomoh GOD the bathroom was small old disgusting dirty and full of hair and rust - no joke! There was no Kleenex in the place. The bed was hard and scary. Thank goodness there were three locks on the doors because the place didnt seem secure. Now its in a great neighborhood and the views were very good of both downtown and the space needle. Its on the Monorail but be prepared to walk  mile one way or another to board it. It has a reasonable price. Butwhat I had to experience there was not worth $10. The ONE-WAY ramp into the underground parking was so narrow Im surprised a scooter could make it. And even then youll have to back up move forward back up a few times to get into a spot. Again I liked the neighborhood and area and the price was okay but dear Lord I worried about all the contents of my car the entire stay I had there  I was moving to Seattle and had all my belongings in my vehicle. And equally I could NOT stand the disgusting bathroom or the free Wi-Fi that only worked one of my two nights there. The only reason I didnt move out after 1 night was because the price only matched hotels 20 miles away from downtown and thats where I needed to stay. Please PLEASE do not stay here. If you care about your belongings your sanity your security your cleanliness or your well being you will avoid this place like the plague it is.,Steve R
UR117710399,2011-5-September,The place is filthy I'd expect to find a cleaner bathroom in a crackhouse! The staff have no control over the guests and parties carried on on both levels of balconies until after 3am. Repeated complaints had no effect and no got any sleep. In the morning we told the desk clerk how unhappy we were and his answer was " Guess you shouldn't have stayed here." I did but I'm urging everyone else to avoid this dump like the plague you'd be better off sleeping in your car!!!,Rigger513
UR115023537,2011-4-July,My brother friend and I decided to take an overnight trip to Seattle. WE checked into the hotel and upon arrival realized this was defiantly not what the website made it out to be. but we were only sleeping there so it was not a big deal. We had a great time in the city until we returned to the hotel to find all of our stuff had been stolen. We immediately called the police and notified the front desk. The hotel did not even give us a free night at the hotel. Nor do they seem to care that if we were in the room we could have potentially been hurt or maybe killed. When we spoke with the "manager" he could not even provide us with the owners name. This place is extremely sketchy. I Would not recommend anyone to stay here.,mlg86
UR115993301,2011-29-July,The room sucked parking sucked and the service sucked. Do not stay here. It wasn't even worth $79 per night. I'll pay more to stay somewhere else next time.,spoka29
UR114814783,2011-27-June,This hotel is horrible! we've got an old room unlike rooms in the hotel site's pictures. The room was old and cigarette stinking. The mattress was so old it was better sleeping on the floor. The room was right on the street (1st floor) plus a can vending machines was right outside our door. The walls and window were so thin we felt like lying in the middle of the street! Could not sleep at all and regret the moment we chose this hotel. We payed 140$ include taxes and it was way to much!,David_alon
UR118566910,2011-25-September,If I was bringing a hooker back to some seedy hotel this is where I would go. The rooms are about 12'x12' and the bed squeaks every time you move. No water glasses tin tiny soap bars and a broken smoke detector add to the ambience of this fine establishment. The bathroom is about the size of a closet. We found a smoked cigarette butt floating in the toilet in our non-smoking room. Shows exactly how much the owners care about cleanliness. I ended up paying for parking since the underground parking lot was full. This feat of manueverig only took 20 minutes of my time since the idiot at the front desk obviously did not keep track of anything. The tv in the room got all 4 basic cable channels so I guess thats a plus. Only stayed here because all other hotels were booked. How the owners get away with changing $100 is beyond me! The best part of staying here was getting out of the room. Avoid this dump at all costs unless you have some kinky hooker fantasy going on or want to experience how people in communist Europe used to live.,Johnnygman
