review_id,date,content,author
UR122532069,2012-4-January,Unfriendly and unhelpful reception staff... extremely tiny rooms - this is the second shaftesbury i've traveled to and their both a nightmare... No more shafesbury for me...,Paul v
UR123553368,2012-24-January,This would have been given a three star rating if our room was not tucked away in the basement beside a massive vent. The noise from this could have been a big deal if I didnt have earplugs with me. Thankfully I always travel with them. The aircon in our room when turned off gave a groan every so often too which again could have been an issue if earplugs were not available. When we went into the room the room is very small it could definitely have used a new table as the one we had was dreadful and took away from the room at first glance. We did ask to be moved and was told that the hotel was full but they did offer to move us the fourth floor on the second day but we had unpacked at that stage so we declined. We were staying there with friends. My friends also asked to be moved as they were also in the basment which had the noise of the vent combined with being right beside the kitchen so noise levels were quite high. Our other friend was located on the four floor in a lovely double room with underground heating in the bathroom. Its just luck of the draw which room you get. Having said that the bed was extremely comfortable and the room was clean. If your out and about then somewhere to put your head down is all you need. The tube station is less then 10 minutes walk and we found the location very handy. I would give it a rating of three but as I said putting us in the basement of the hotel beside the vent knocked a star off for me. We paid 207 sterling for three nights which was good value. We were told this was half price. If we payed the full price of over 400 sterling I would have been pretty pissed off. The staff were nice I have to say. We didnt get breakfast so have no comment on that.,Specialk-74
UR125014122,2012-22-February,I had to stay here last night for one night on short notice. Everything else in London seems to have been booked out. If you are 4' 6" tall and do not suffer from claustraphobia then this hotel would be fine. I am 6 foot tall and while I don't suffer from claustrophobia small tight spaces make a little uncomfortable. The bedroom I had was on the ground floor facing the main road. It was very noisey with only single glazing. To give an idea of the size of the room - the bedroom had one standard size double bed. On either side of the bed there was barely 1 foot of clearance until you hit the wall. You could not comfortably walk around the bed so getting into bed by crawling from the end of it was the only way. Not so bad though if the rest of the room was okay. Well there was 2 feet of clearance between the end of the bed and the wardrobe. And that my friends was the extent of the room save the bathroom - which was in all honesty not too bad in terms of size and condition. I entered the room with one average sized wheeled suitcase and a laptop bag. I put them down behind me at the door entrance and at that stage i could not move forward because of the bed and couldn't move backwards because my small amount of baggage was enough to block of the entrance! All in all VERY small. I tend to like to hang up my suit and shirts for the next business day in order that they are not wrinkled. When I attempted to do this I found that the wardrobe was not wide enough to accomodate the width of its own hangers! They hung at an angle which meant that hanging anything more than two items in the wardrobe resulted in the door being wedged open. This had the affect of bunching up the clothes hanging in the wardrobe and actually encrouching into the already sparse space between the end of the bed and the wardrobe. To be fair the room was not in bad condition but it is extremely small. I have stayed in other small city hotels before but this is extremely snug the smallest i have ever seen. For more than one person travelling with more than one suitcase it would be impossible. The only other comments I would have is that the whole hotel is 'snug'. The corridors are narrow. Downstairs for breakfast one is inclinded to bend down going through door ways because of the low ceilings in the basement area. I would hate to see the rooms down there if they are as small as mine on the ground floor coupled with the low ceilings it would be like sleeping in a coffin. So if you are hobit sized with hobbit sized luggage then go for it. If not I would suggest looking else where or at least preparing yourself for a 'snug' experience.,Pastyp
UR107562306,2011-9-May,Possibly the worst customer service ever! I like many other guests faced the same story ( I believe because we booked through late rooms and were paying a cheaper price) on arrival. I was told that due to water problems!! In some of the rooms I had to move to another hotel near Earls Court. However well armed with my Trip Advisor knowledge I refused to budge from the reception desk until they found me a room. I had a meeting at 9am the next day hence why I asked for this hotel location and explained this to the receptionist. She made a big show of phoning 'central reservations' and after the 3rd attempt to send me a way in a taxi ( a queue of spectators was forming by this point!) suddenly a spare room appeared! The end of my woes... Definitely not! the receptionist was rude to me and the others at the desk  my room was the broom cupboard on the ground floor it was noisy all night due to staff talking at reception there were exposed electrical cables and the blankets on the bed were stained. I will be making official complaint to trading standards.,ScottishExposure
UR92102867,2011-7-January,The location was great and the reception staff were pleasant enough. After reading the review's about the size of the room I was a bit aprehensive but it was fine and was clean and looked nice (I was surprised to find out it was 4 star however). The worst thing was the noise - the cleaning staff have no consideration for the customers and bang around/talk loudly outside of the rooms I understand they have a job to do but we paid a lot to stay in this hotel and needed a good rest after our long trip - in the end we left more exhausted than when we arrived! There was a huge air conditioning/ventilation unit outside the window which was very noisy and went off every hour or so actually when it was on it was fine because it drowned out all the other noise but it would go off and on randomly. The worst thing was the fact that there was a door outside the room leading to the reception stairs and the staff were going in and out of this door constantly leaving it to bang closed each time horrible. I told the reception staff to ask them to keep it open and they said they would but this wasn't communicated as I had to go out myself and put the door stop there - which was later removed again. The best thing to do would be to keep it open or use the lift!,lunt82
UR91945349,2011-6-January,When i first booked this hotel online i was really pleased with the value for money; i mean a four star hotel five minutes away from Paddington bargain!!! However when we arrived i knew straight away that it was not going to be an enjoyable stay!! The main entrance doors were made of glass but were on the dodgiest hinges ever every time we opened the door it felt like the glass panel was going to fall off. The reception staff were rude and not very helpful. Once checked into room 801 we made our way to our room this wasn't a very long trip as it turned out that a deluxe double room turned out to be a small store cupboard behind the reception area. There were noises of doors banging all through the night as we were so close to the entrance. Once in the room it just got worse and worse. There were two beds in our room; one single and one small double both were poorly put together fold up beds (the single bed broke when sat on and ended up half folded up by the time we left) the interactive TV service was terrible channels 1-5 and all covered in snow the wireless keyboard for internet access didnt work. The free hotel broadband was so bad that we couldnt get a connection anywhere in the room. The view out of our window was of another window in a room opposite. The lights were randomly scattered around the ceiling and walls and one switch even buzzed and crackled when you turned it on needless to say we left it well alone for the duration of our stay. Things only got worse when I went to use the bathroom the bath was tiny the tile grout was all loose and falling out the shower screen didn't fit over the bath properly and when you turned the shower on it sprayed water in every direction but were it was suppoesed to go!! TERRIBLE HOTEL WILL NEVER TRUST AN AA RATING AGAIN!!! FOUR STARS......... NEVER!!!! FILTHY RUN DOWN AND BADLY RUN!!! I WOULD RATHER STAY AT GUEST HOUSE PARADISO!!!,BenCollins694
UR120166399,2011-4-November,I stayed at this hotel for a week. I started off in the basement with a tiny room facing a wall with slightly damp smelling aircon. The bathroom was tiny and you could only just fit into the area for the WC (I'm average size). The walls on either side of my room were so thin i could hear every word of my neighbour's phone conversation on one side and on the other my neighbours 'being intimate' . Luckily my internet wasn't working (the socket was hanging out of the wall - no wireless available from hotel) so after a couple of days I was upgraded to the third floor in an 'executive studio'. The upgraded room was more spacious and less damp however the door to my room was adjacent to the speaking lift and ALL night long you could hear it saying 'fist floor second floor' etc. The doors also slam quite loudly as they close. Although the bathroom was clean on the surface there was visible mould in my shower in the corners of the silicone grouting. This also led to quite a mouldy smell in the bathroom as a whole. The fittings are all made to seem solid and of quality but this is superficial. Although the hotel's just been redone it's already getting a bit worn and shabby. The rooms also had quite a dark feel to them. I have to say that the staff were all very friendly and helpful with all my enquiries and the location (5 mins to Paddinton) was great but as I like a quiet night's sleep and enough space to swing a cat I would not stay here again.,Goodadvisorreview
UR115007909,2011-4-July,Well I never usually complain about hotels really but felt compelled to in this case. Stayed here for one evening only. Sadly I found things a little sub-standard for a 4 star establishment. I checked in and paid my 129 for a single and was asked for a further deposit of 10?! I was then told that my room was turn left right then up two flights of stairs (I was not offered any help to the room with my heavy bag) then I was greeted by numerous 'Wet Paint' signs all the way up the very narrow staircase and a very strong smell of gloss paint. Trying to manouvre a large bag and myself up this staircase (and I am only a petite size 10!) without getting any gloss on yourself was like an assault course. The rooms were incredibly small (I would actually use the word pokey). They were in the middle of major refurbishments (which I was not informed of) the staff seemed fraught and immediately defensive of any mild criticism. Ongoing refurbishments had evidently left the hotel with no air conditioning (and it was a particularly hot few days) and although electric fans were provided space in the room was so lacking that the fan kept getting knocked over. There was also no mini bar or fridge in the room just an empty cupboard where one had clearly been so keeping cold drinks cool was a problem. Broadband internet access was also advertised however it was slow and intermittant again my complaint was simply greeted with a defensive shrug of the shoulders. In my opinion (and I am aware that this is London pricing) this hotel is completely overpriced and of poor quality this is not a 4 star hotel and although it was clean and modern it is more applicable to a 3 star grading. I stayed in a 4 star around the corner only last year and not only was it much better quality and worthy of its 4 star rating and it was also half the price of this one! I wouldn't say not to go to this hotel but as long as you get a good discount and expect 3 star value you will be happy.,chrissie1969
UR94982827,2011-30-January,Oh how I wish i'd read the reviews on TA before I booked into this place. We arrived at reception to be greeted by the friendly man who took my money on debit card and then told me that due to a building maintence fault (yes that BS line again!) we were being transfered to there sister hotel 5 minutes away. Arrived there and was told that I was actually being put in the special clubrooms around the corner. Arrived to find another hotel complex containing shabby rooms with broken windows! They then put me back into the sister hotel in the basement with room with broken matresses and a bust TV. I complained again and was moved yet again into a shoe box of a room over the road!!!!!!!! This story goes on and on and on until I BLEW my top with the manager and demanded a refund - which they refused to give so I stood in reception shouting and making a massive scene in front of all the hotel guests until I got a full refund and a taxi to the station. THEY ARE CONNING PEOPLE - PLEASE DO NOT MAKE THE MISTAKE I MADE.,SwissUK
UR115955422,2011-29-July,Room description was Ver missleading - This was worse than a travelodge room Damp and torn wall paper. Workmean in the early hours. Location description is missleading. Staff were unhelpfull when questioned over the state of the room on line feedback was also ignored. Never Again !!,ribs160379
