review_id,date,content,author
UR122828885,2012-9-January,My wife and I go to Puerto Rico every year. For 2011/2012 Christmas & New Years holiday we decided to make it special. We wanted to spend it on the island. We had stayed at the San Juan Beach several years ago when they were under renovations. We took that into consideration and put up with the inconveniences it was a good stay. So we looked at the web site for 2011 and saw what appeared to be new pictures of completed renovations and booked a 10 day stay. WOW!! What a shock we got when we arrive to find that the owner(s) shifted the emphasis from customer service to greed. The lobby was beautifully redone although simple. A restaurant El Perurrican) had been added but you must be into strictly seafood (Not much diversity). The free breakfast that was served during our last stay was done away with. We assumed too make way for much better accommodations. WRONG! When we entered the room what a shock we got to find that it smelled musty was very dirty and with stained carpets. The bathroom was full of mold mildew and rust. All the bathroom fixtures had mold mildew and rust. The window shades were broken so you had to take them down and roll them by hand. The air conditioner (although it worked) sounded like a freight train all night so we convinced ourselves that it was the sound of the ocean in our room so that we could sleep. We did have an ocean view room (which we payed extra for) We could not get room service to leave us clean towels and the sheets were not changed. Only the bed was remade again and again for 10 days with the same sheets. I believe we had bedbugs because we were itching all night an in the morning we both had bites all over our bodies. (we marked the sheets to make sure). No coffee machine NO blow dryer although the blow dryer plate was attached to the wall. On the third day we took a ride on the elevator and were joined by 4 housekeepers. I am Puerto Rican and speak the language my wife is Irish/Italian and only understands it a little bit. Well these 4 housekeepers were discussing in Spanish how pissed (Encojona) they were that tourist would not leave the hotel until noon or after thus causing them to be delayed in their duties. And that they could not find a room on a higher floor where they could watch TV and rest. At check out they attempted to charge us for 10 days of valet parking at $18 a day knowing full well that we only used the valet parking for 7 days the valets were very good and pleasant . When we did try to launch a complaint the only person we could find did not appear to care about our problems. One employ did tell us that the new management did not appear interested in pleasing the customers only profit. NEVER AGAIN!! Beautiful Condado area but book at your own risk.,Richard M
UR122765308,2012-8-January,The lobby and restaurant are beautiful! The front desk personnel were very nice! Then we got out of the elevator and the nice ends! The halls are dirty and smell but not near as bad as our room! It was dirty wet and humid and there was mold everywhere! They just painted over it. The bathroom was gross! There was no fridge and it smelled bad!! Also there is no swimming allowed on the beach! You have to walk down to the public beach a few blocks away to swim! Also if you go to Puerto Rico figure out the busses- get a route list because the cabs are crazy expensive!! The bus cost $0.75 they are air conditioned and relatively clean! I definitely reccommend the restaurant! The food is great the service was very nice and the view of the ocean is amazing! It is rather pricey but the food all over San Juan was pricey so if you are going to spend the money anyway you might as well really enjoy the food!!,Kelly D
UR122677314,2012-6-January,We have visited Puerto Rico for the past 11 years. The past year we decided to stay elsewhere due to the lobby of the San Juan Beach Hotel being remodeled. We figured that since the lobby was redone the rooms would have been updated also. Not so. When we arrived at our beach front hotel room we were very disappointed to find that the rooms did not even compare to a 1 - 2 star hotel room. The lobby was redone to lure in the unsuspected tourists into thinking that the rest of the hotel would be as elegant. The room had furniture from about 15 years ago the sheets on the bed were not changed until we called to request them after 4 days. We placed a mark on the sheets to see how long it would take them to change the linens. We started itching after the first night only to find that there were bed bugs. The bathroom was disgusting tub stained towels not picked up unless we requested clean ones to be delivered. The air conditioner kept us up all night for the 10 nights that we were there. We complained about the noise it was making and were told that all the units were the same. Unbelievable. When going out for the day we also placed our bags in a certain position where as if they were moved or tampered with we would know. Yes they were gone through. Needless to say we were so frustrated that we decided to stay with family for most of our visit. The beach was not a beach at all. Walk down to what they call a beach and you will find nothing but rocks everywhere. Not a space big enough to place a chair or towel. You are not allowed to lay on their beach. Disaster area. Wasting money on this horrible hotel. Please if you are looking for an economical hotel do not pick this one. You will not only be disappointed but shafted out of your hard earned money We took plenty of pictures of the room in case we are not believed.,ppyacheer
UR122628415,2012-5-January,This hotel looked really nice on the website and the lobby was really pretty. The room was horrible! The ceiling was rotting by the window there were bugs in the bathroom the beds were disgusting! I slept on top of the comforter... I would not advise this hote unless your totally desperate. For $130 you can do better!,Jessie R
UR127257989,2012-4-April,I didn't want to take off my shoes the carpet was so dirty. This place is just very very rundown and needs major work.,jessr1010
UR123889793,2012-30-January,from jan 24 to 26 2012...the staff super friendly the lobby 4 stars the restaurant 4 stars but the rooms? 1st room; mold smell roaches no a/c no hot water.. 2nd room; roaches (woke up with a roach on myt neck) a/c good no hot water... 3rd room a/c no bad wet carpet humid roaches no hot water..they offer a 4th room; remodel but dirty like they just finish the remodeling no hot water and roaches. they gave me all the money back including the valet parking ($20 a day) and the $50 security deposit. my 10 years anniversary the first time my mother in law in Puerto Rico. 3 days with asthma because the mold smell.if they fix the rooms is going to be a 4 stars hotel. now is just a 1 star hotel. check your room before pay and dont do the internet pre-pay.if you dare to stay here after this review you have to be crazy. read the other reviews. i am not the only one,machy4973
UR126782410,2012-27-March,I hate writing a review like this but our 1 night stay was AWFUL! When we entered our room it smelled like mildew but we thought just 2 nights and it is late. We asked for washcloths and were told :They didn't wash enough today. Maybe tomorrow!" Still we stayed. At 4:15 AM my traveling companion woke me to say we had to leave. She was sick as could be eyes stuck together and coughing her head off. We called down and asked for another room explaining our problem and were told :Check back at 7 AM. Somebody will be here then." By 6 we were packed and out of there. The good thing I will say is that the young lady in charge of the day shift was very nice and did show us a "renovated" room. It smelled like chemicals so we left and went to the hotel Expedida was good enough to transfer us to. We were both sick with "allergic bronchitis" for our entire cruise.,oubookgirl
UR126682648,2012-26-March,This is the WORST hotel EVER..It should be listed as an Motel a very seedy one at that. Booked for 4 nights and dIdn't even stay 1 went to the San Juan Sheraton. Booked through Expedia and they changed for 1 night and in the process of getting that refunded as well. You get what you pay for and the reviewers that are saying its not so bad they must be employees or relative of the employees that work at this dump or their not travelers use to staying in decent hotels.,Skylar D
UR126465028,2012-21-March,Good location we stayed for one night before joining Cruise. Bed and toilet clean. Carpet dirty. Room fittings in need of replacement. Good quality Flatscreen TV with US channels. Big room but needs refurbishment urgently. OK for one night but condition of room would drive you to go elsewhere. Noise for adjacent room and ocean high in room we had on 3rd floor. Reception resturant and outside bar good pool poor but narrow beach about 5M from rear of hotel.,AlanandMags
UR128007778,2012-16-April,it was a night mare room was dirty the bed cover had a big yellow stain on it the lamp was full of rust and meldow the bath tub was dirty and had meldowthe window curtains had stains on it and was only a see thru curtains. we ended going to a diffrent hotel and they still charge me for 1 night!,Posted by a cheaprooms.com traveler
UR124496844,2012-12-February,The worst service I've ever encountered zero servicemindedness. On top of this the rooms are pretty lousy no one ever cleaned ours even when we hung out our sign (which apparently you had to do to get them done up) there was a blood stain on our sheets and there's no breakfast even available to pay extra for. They've poured all their assets into the exterior which as a result looks nice but inside the rooms are far less impressive. When you open the window in the bedroom the ceiling in the bathroom is lifting (since its the type of ceiling you'd find in an office). When we asked to cancel our reservation at 7.30pm after having been denied check-in at 3pm because they "had so much laundry to do" they put up a fight and refused to let us off without paying. It took threats and two calls to their boss before we were allowed to leave this lousy excuse for a hotel. DON'T STAY THERE.,AnnisNumberOne
UR99442767,2011-8-March,We stayed at this hotel for 3 nights and were very disappointed. It looks great when you enter the lobby but thats about all that good in this hotel. They did not clean on room on the second day and then took 30 minutes and 2 phonecalls to bring us towels and toiletpaper that evening. The lobby is understaffed and we often had to wait too long when handing in keys and getting our car. there is no parking so you are forced to have it in valet which they of course charge for and then make you wait forever when you want to get your car. they ran out of towels on a daily basis and we even overheard them apologising to another couple for not having enough pillow cases. great location but would definately not stay there again.,saffa2011
UR103041232,2011-6-April,Stayed here for three nights after a cruise in April 2011. The room was large but carpeted the furniture was older chairs had multiple stains carpet was stained cleanliness was barely acceptable. The biggest problem with this hotel was the room was DAMP the entire room had a very damp moldy smell papers left in the room for a day felt almost wet everything was damp and running the air conditioner seemed to make it worse. There is a pool and deck area but there is no beach just rocks. A nice swimming beach is just a few minutes walk away.,YVRguy34
UR115065071,2011-5-July,Stay away from this so called Hotel  Rude staff very dirty hotel..pillows with mildew ..elevators always wet ...and i will share some pictures of room 511 the tub and i have no more to say....how can the rent rooms like this.,cynthia019
UR110124830,2011-27-May,We asked for 2 rooms one beside the other the day I made my reservation over the phone Jessica is the Reservation employee she said "OK"  then when we arrived they gave us a room on floor 7 and the other on floor 3 when we went to the room and opened it it was OCCUPIED!!!!! Yes there were guests' in the room they didn't see us because I think that they weren't inside when I went to tell Jessica what had happend she said "Oh sorry"....we asked to talk to the manager and we never saw him in the three days we were there. I do not recommend it at all. Poor service.,travel_agent_Queb
UR101717253,2011-27-March,Just got off b2b cruise needed a room for one night before boarding another ship. So we were just looking for clean & safe place to stay. I booked on expedia and ended up paying $180 this place is worth about $50 (maybe). Rooms are very spartan sheets may have been laundered but not pressed so wrinkled and thin they stuck to you. The bathroom had a bug crawling about. The phone and tv looked new. The hallway looked like a skid row building. the elevators are scary as they shake going up & down. Bottom line...Do not stay here at any price.,Cliffday
UR115768686,2011-25-July,The staff was rude had to wait over an hour past the check in time for an available room no valet parking was available so i had to drive 4 blocks to find a location was told to check back the second day for parking (but there wasn't any then either so i ended up returning the rental car mid trip) wi-fi doesn't work in the room was told that someone would fix it and 24 hours later the problem still exists no phone in the room so i have to go to the lobby to speak to anyone only one elevator works in the 10 story building the carpet is rolling and stained (very large spots) in multiple locations there's no mattress pad under the sheets the mattresses are decades old and very squishy the trim is falling off the wall the windows are stated to open but don't the windows are filthy so you can't enjoy the view of the ocean (I can go on but these are the first few items that came to mind...),timv1977
UR122007110,2011-22-December,My husband and I stayed at the SJ Beach hotel 5 years ago it was the economical traveler's dream. We thought we would return for our anniversary and a trip down memory lane. Only the SJ beach hotel's room quality has taken a drastic nose dive. We were given 3 different rooms after complaints about broken toilets no lights non working phones non working shower stained sheets dirty bathrooms and paint fumes (from the nighttime maintenance). Each room we were given was in worse condition only the room rate stayed the same. After returning to the front desk for the 4th time we checked out after 1hr. and demanded a refund and refused to accept the 4th room offer. The tragic part is the staff seemed unsurprised about the fact that basic amenities such as bathrooms and lights were in non working order in all of the rooms we were given. We are frequent visitors to Puerto Rico and have stayed in many places there are too many other options to spend your money elsewhere for a decent clean safe stay in the same location. Run don't walk away from this hotel!! The only thing that will upset you more from staying at this property is to have paid hard earned money to do so.,mzkimd
UR117032586,2011-21-August,The pictures on the hotels websites are misleading the lobby and adjacent restaurant are very nice but that is where everything ends. Turn the corner to get on the elevator and you enter the hall of despair. The rooms are dirty humid insufficent insulation which makes the bed linens moldy and the bed and carpet damp. The bathroom was outdated and the bathtub was rusty and the ceiling panel was falling down. This was the secod room I was given after I complained about the first room which was actually worse. The parking garage is scary and I suggest don't attempt to access your car after dark. The location is good right on a bus route but it is also a frequent hangout for the homeless after dark. The service was not bad but there is just not so much they can do to make the hotel better.,jean b
